Phase;Type de mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;AE PLF 2019;CP PLF 2019;Code Ministère;Ministère
PLF 2019;Comptes d'affectation spéciale;Aides à l'acquisition de véhicules propres;791;Contribution au financement de l'attribution d'aides à l'acquisition de véhicules propres;1;Contribution au financement de l'attribution d'aides à l'acquisition de véhicules propres;;;264 000 000;264 000 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Aides à l'acquisition de véhicules propres;792;Contribution au financement de l'attribution d'aides au retrait de véhicules polluants;1;Contribution au financement de l'attribution d'aides au retrait de véhicules polluants;;;306 000 000;306 000 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;1;Dispositifs de contrôle;;;194 320 000;194 320 000;9;Intérieur
PLF 2019;Comptes d'affectation spéciale;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;2;Centre national de traitement;;;92 000 000;92 000 000;9;Intérieur
PLF 2019;Comptes d'affectation spéciale;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;3;Soutien au programme;;;18 050 000;18 050 000;9;Intérieur
PLF 2019;Comptes d'affectation spéciale;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;4;Fichier national du permis de conduire;;;35 580 000;35 580 000;9;Intérieur
PLF 2019;Comptes d'affectation spéciale;Contrôle de la circulation et du stationnement routiers;753;Contrôle et modernisation de la politique de la circulation et du stationnement routiers;1;Déploiement du procès-verbal électronique;;;26 200 000;26 200 000;9;Intérieur
PLF 2019;Comptes d'affectation spéciale;Contrôle de la circulation et du stationnement routiers;754;Contribution à l'équipement des collectivités territoriales pour l'amélioration des transports en commun, de la sécurité et de la circulation routières;1;Contribution à l'équipement des collectivités territoriales pour l'amélioration des transports en commun, de la sécurité et de la circulation routières;;;478 065 823;478 065 823;9;Intérieur
PLF 2019;Comptes d'affectation spéciale;Contrôle de la circulation et du stationnement routiers;755;Désendettement de l'État;1;Désendettement de l'État;;;452 435 730;452 435 730;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Développement agricole et rural;775;Développement et transfert en agriculture;1;Développement et transfert;;;64 900 000;64 900 000;3;Agriculture et alimentation
PLF 2019;Comptes d'affectation spéciale;Développement agricole et rural;775;Développement et transfert en agriculture;2;Fonction support;;;100 000;100 000;3;Agriculture et alimentation
PLF 2019;Comptes d'affectation spéciale;Développement agricole et rural;776;Recherche appliquée et innovation en agriculture;1;Recherche appliquée et innovation;;;70 700 000;70 700 000;3;Agriculture et alimentation
PLF 2019;Comptes d'affectation spéciale;Développement agricole et rural;776;Recherche appliquée et innovation en agriculture;2;Fonction support;;;300 000;300 000;3;Agriculture et alimentation
PLF 2019;Comptes d'affectation spéciale;Financement des aides aux collectivités pour l'électrification rurale;793;Électrification rurale;3;Renforcement des réseaux;;;164 200 000;164 200 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Financement des aides aux collectivités pour l'électrification rurale;793;Électrification rurale;4;Extension des réseaux;;;41 600 000;41 600 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Financement des aides aux collectivités pour l'électrification rurale;793;Électrification rurale;5;Enfouissement et pose en façade;;;42 500 000;42 500 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Financement des aides aux collectivités pour l'électrification rurale;793;Électrification rurale;6;Sécurisation des fils nus (hors faible section);;;48 700 000;48 700 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Financement des aides aux collectivités pour l'électrification rurale;793;Électrification rurale;7;Sécurisation des fils nus de faible section;;;52 500 000;52 500 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Financement des aides aux collectivités pour l'électrification rurale;793;Électrification rurale;8;Fonctionnement;;;200 000;200 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Financement des aides aux collectivités pour l'électrification rurale;793;Électrification rurale;9;Déclaration d'utilité publique (Très haute tension);;;500 000;500 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Financement des aides aux collectivités pour l'électrification rurale;793;Électrification rurale;10;Intempéries;;;5 000 000;5 000 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Financement des aides aux collectivités pour l'électrification rurale;794;Opérations de maîtrise de la demande d’électricité, de production d’électricité par des énergies renouvelables ou de production de proximité dans les zones non interconnectées;2;Sites isolés;;;1 000 000;1 000 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Financement des aides aux collectivités pour l'électrification rurale;794;Opérations de maîtrise de la demande d’électricité, de production d’électricité par des énergies renouvelables ou de production de proximité dans les zones non interconnectées;3;Installations de proximité en zone non interconnectée;;;3 000 000;3 000 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Financement des aides aux collectivités pour l'électrification rurale;794;Opérations de maîtrise de la demande d’électricité, de production d’électricité par des énergies renouvelables ou de production de proximité dans les zones non interconnectées;4;Maîtrise de la demande d'énergie;;;800 000;800 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Financement des aides aux collectivités pour l'électrification rurale;794;Opérations de maîtrise de la demande d’électricité, de production d’électricité par des énergies renouvelables ou de production de proximité dans les zones non interconnectées;5;Déclaration d'utilité publique (Très haute tension) - (Engagements antérieurs au 1er janvier 2013);;;;;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Financement des aides aux collectivités pour l'électrification rurale;794;Opérations de maîtrise de la demande d’électricité, de production d’électricité par des énergies renouvelables ou de production de proximité dans les zones non interconnectées;6;Intempéries - (Engagements antérieurs au 1er janvier 2013);;;;;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Financement national du développement et de la modernisation de l'apprentissage;787;Répartition régionale de la ressource consacrée au développement de l'apprentissage;3;Répartition régionale de la ressource consacrée au développement de l'apprentissage;;;1 384 542 387;1 384 542 387;36;Travail
PLF 2019;Comptes d'affectation spéciale;Financement national du développement et de la modernisation de l'apprentissage;790;Correction financière des disparités régionales de taxe d'apprentissage et incitations au développement de l'apprentissage;1;Correction financière des disparités régionales de taxe d'apprentissage et incitations au développement de l'apprentissage;;;325 172 102;325 172 102;36;Travail
PLF 2019;Comptes d'affectation spéciale;Gestion du patrimoine immobilier de l'État;721;Contribution des cessions immobilières au désendettement de l'État;1;Contribution au désendettement de l'État;;;0;0;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Gestion du patrimoine immobilier de l'État;723;Opérations immobilières et entretien des bâtiments de l'État;11;Opérations structurantes et cessions;;;229 286 587;322 000 000;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Gestion du patrimoine immobilier de l'État;723;Opérations immobilières et entretien des bâtiments de l'État;12;Contrôles règlementaires, audits, expertises et diagnostics;;;23 000 000;22 000 000;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Gestion du patrimoine immobilier de l'État;723;Opérations immobilières et entretien des bâtiments de l'État;13;Maintenance à la charge du propriétaire;;;44 000 000;44 000 000;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Gestion du patrimoine immobilier de l'État;723;Opérations immobilières et entretien des bâtiments de l'État;14;Gros entretien, réhabilitation, mise en conformité et remise en état;;;95 000 000;95 000 000;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Participation de la France au désendettement de la Grèce;795;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus sur les titres grecs;1;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus par la Banque de France sur les titres grecs détenus en compte propre;;;0;7 700 000;21;Économie et finances
PLF 2019;Comptes d'affectation spéciale;Participation de la France au désendettement de la Grèce;795;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus sur les titres grecs;2;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus par la Banque de France sur les titres grecs détenus au titre du portefeuille dit SMP;;;118 000 000;118 000 000;21;Économie et finances
PLF 2019;Comptes d'affectation spéciale;Participation de la France au désendettement de la Grèce;796;Rétrocessions de trop-perçus à la Banque de France;1;Rétrocessions de trop-perçus à la Banque de France;;;0;0;21;Économie et finances
PLF 2019;Comptes d'affectation spéciale;Participations financières de l'État;731;Opérations en capital intéressant les participations financières de l'État;1;Augmentations de capital, dotations en fonds propres, avances d'actionnaire et prêts assimilés;;;7 790 000 000;7 790 000 000;21;Économie et finances
PLF 2019;Comptes d'affectation spéciale;Participations financières de l'État;731;Opérations en capital intéressant les participations financières de l'État;3;Achats ou souscriptions de titres, parts ou droits de société;;;0;0;21;Économie et finances
PLF 2019;Comptes d'affectation spéciale;Participations financières de l'État;731;Opérations en capital intéressant les participations financières de l'État;4;Autres investissements financiers de nature patrimoniale;;;10 000 000;10 000 000;21;Économie et finances
PLF 2019;Comptes d'affectation spéciale;Participations financières de l'État;731;Opérations en capital intéressant les participations financières de l'État;5;Prestations de services : commissions bancaires, frais juridiques et frais liés aux opérations de gestion des participations financières de l'État;;;200 000 000;200 000 000;21;Économie et finances
PLF 2019;Comptes d'affectation spéciale;Participations financières de l'État;731;Opérations en capital intéressant les participations financières de l'État;6;Versements au profit du Mécanisme européen de stabilité;;;;;21;Économie et finances
PLF 2019;Comptes d'affectation spéciale;Participations financières de l'État;732;Désendettement de l'État et d'établissements publics de l'État;1;Désendettement de l'État ou d'établissements publics de l'État;;;2 000 000 000;2 000 000 000;21;Économie et finances
PLF 2019;Comptes d'affectation spéciale;Pensions;741;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;1;Fonctionnaires civils relevant du code des pensions civiles et militaires de retraite;;;45 162 600 000;45 162 600 000;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Pensions;741;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;2;Militaires relevant du code des pensions civiles et militaires de retraite;;;10 060 300 000;10 060 300 000;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Pensions;741;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;3;Allocations temporaires d'invalidité;;;137 400 000;137 400 000;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Pensions;742;Ouvriers des établissements industriels de l'État;1;Prestations vieillesse et invalidité;;;1 870 200 000;1 870 200 000;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Pensions;742;Ouvriers des établissements industriels de l'État;3;Autres dépenses spécifiques;;;1 700 000;1 700 000;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Pensions;742;Ouvriers des établissements industriels de l'État;4;Gestion du régime;;;7 300 000;7 300 000;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Pensions;742;Ouvriers des établissements industriels de l'État;5;Rentes accidents du travail des ouvriers civils des établissements militaires (RATOCEM);;;55 700 000;55 700 000;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;1;Reconnaissance de la Nation;;;709 300 000;709 300 000;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;2;Réparation;;;965 300 000;965 300 000;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;3;Pensions d'Alsace-Lorraine;;;16 000 000;16 000 000;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;4;Allocations de reconnaissance des anciens supplétifs;;;16 520 000;16 520 000;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;5;Pensions des anciens agents du chemin de fer franco-éthiopien;;;50 000;50 000;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;6;Pensions des sapeurs-pompiers et anciens agents de la défense passive victimes d'accident;;;12 530 000;12 530 000;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;7;Pensions de l'ORTF;;;140 000;140 000;7;Action et comptes publics
PLF 2019;Comptes d'affectation spéciale;Services nationaux de transport conventionnés de voyageurs;785;Exploitation des services nationaux de transport conventionnés;1;Contribution à l’exploitation des services nationaux de transport conventionnés;;;197 000 000;197 000 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Services nationaux de transport conventionnés de voyageurs;785;Exploitation des services nationaux de transport conventionnés;2;Frais d'enquêtes, d'études et de conseil relatifs à l'exploitation des services nationaux de transport conventionnés;;;1 000 000;1 000 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Services nationaux de transport conventionnés de voyageurs;785;Exploitation des services nationaux de transport conventionnés;3;Contributions versées aux régions au titre de l’exploitation des services nationaux de transports antérieurement conventionnés;;;88 200 000;88 200 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Services nationaux de transport conventionnés de voyageurs;786;Matériel roulant des services nationaux de transport conventionnés;1;Contribution au matériel roulant des services nationaux de transport conventionnés;;;73 000 000;73 000 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Services nationaux de transport conventionnés de voyageurs;786;Matériel roulant des services nationaux de transport conventionnés;2;Frais d'enquêtes, d'études et de conseil relatifs au matériel roulant des services nationaux de transport conventionnés;;;;;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Transition énergétique;764;Soutien à la transition énergétique;1;Soutien aux énergies renouvelables électriques;;;5 261 909 997;5 261 909 997;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Transition énergétique;764;Soutien à la transition énergétique;2;Soutien à l'effacement de consommation électrique;;;45 000 000;45 000 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Transition énergétique;764;Soutien à la transition énergétique;3;Soutien à l'injection de bio-méthane;;;132 090 003;132 090 003;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Transition énergétique;764;Soutien à la transition énergétique;4;Fonds d'interconnexion;;;1 400 000;1 400 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Transition énergétique;765;Engagements financiers liés à la transition énergétique;1;Désendettement vis-à-vis des opérateurs supportant des charges de service public de l'électricité;;;1 839 000 000;1 839 000 000;23;Transition écologique et solidaire
PLF 2019;Comptes d'affectation spéciale;Transition énergétique;765;Engagements financiers liés à la transition énergétique;3;Remboursement d'anciens plafonnements de CSPE;;;0;0;23;Transition écologique et solidaire
